               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.029216,           0.0093205,             0.01454,             0.71371,              0.9656,             0.77104,             0.50291,            0.017886,           0.0035139,           0.0077398,           0.0076735,           0.0076735,           0.0076735
                  49,             0.02985,           0.0088089,            0.015197,             0.70685,             0.94655,             0.79195,             0.56206,            0.014647,           0.0034136,           0.0091308,            0.007624,            0.007624,            0.007624
                  50,            0.026862,           0.0088133,            0.021323,             0.67656,             0.96487,             0.73001,             0.47306,            0.015096,           0.0032686,            0.012212,           0.0075745,           0.0075745,           0.0075745
                  51,            0.028006,           0.0091987,            0.021003,             0.72059,             0.97917,             0.82933,             0.54002,            0.017577,           0.0037916,           0.0064724,            0.007525,            0.007525,            0.007525
                  52,             0.02784,           0.0092981,            0.018153,             0.73181,             0.97642,             0.83803,             0.59108,            0.015759,           0.0039642,           0.0069783,           0.0074755,           0.0074755,           0.0074755
                  53,            0.028093,           0.0094453,            0.014553,             0.71884,             0.97917,             0.82124,             0.59524,            0.014968,           0.0042066,           0.0065437,            0.007426,            0.007426,            0.007426
                  54,            0.025726,           0.0087548,            0.016571,             0.72014,             0.97917,             0.83267,             0.59556,             0.01592,            0.003595,           0.0059629,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027628,           0.0095968,            0.014214,             0.72093,             0.97917,              0.8058,              0.5532,             0.01491,           0.0034815,           0.0058625,            0.007327,            0.007327,            0.007327
                  56,            0.025583,           0.0088292,            0.016617,             0.70865,             0.97917,             0.77897,             0.53297,             0.01541,           0.0034733,           0.0059413,           0.0072775,           0.0072775,           0.0072775
                  57,            0.026306,           0.0089899,            0.016839,             0.73248,             0.99634,             0.81339,              0.5494,            0.017839,            0.003534,           0.0056141,            0.007228,            0.007228,            0.007228
                  58,            0.026971,            0.009513,            0.016152,             0.68104,              0.9879,             0.86716,             0.61038,            0.016167,           0.0034611,           0.0099156,           0.0071785,           0.0071785,           0.0071785
                  59,             0.02727,           0.0095173,            0.015422,             0.74318,             0.99858,             0.87625,             0.64379,            0.014278,           0.0033159,           0.0058102,            0.007129,            0.007129,            0.007129
                  60,            0.026935,           0.0085399,            0.017118,             0.72789,                   1,             0.84671,             0.60589,            0.014889,           0.0035259,           0.0056456,           0.0070795,           0.0070795,           0.0070795
                  61,            0.027596,            0.010729,            0.015665,             0.73357,             0.93362,               0.833,             0.62808,            0.013296,           0.0039029,           0.0058651,             0.00703,             0.00703,             0.00703
