               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.037101,            0.013833,             0.01258,              0.9785,             0.98965,             0.99354,             0.49702,            0.020913,           0.0044724,           0.0046759,           0.0076735,           0.0076735,           0.0076735
                  49,            0.038098,             0.01292,            0.011908,             0.88155,                0.95,              0.9149,             0.54582,            0.021512,            0.004458,            0.005026,            0.007624,            0.007624,            0.007624
                  50,            0.038376,            0.012976,            0.012167,             0.85549,             0.90964,             0.94959,             0.64245,            0.018259,           0.0044975,           0.0042643,           0.0075745,           0.0075745,           0.0075745
                  51,            0.038173,             0.01503,             0.01242,             0.99743,                   1,               0.995,             0.71713,            0.017198,           0.0042385,            0.003519,            0.007525,            0.007525,            0.007525
                  52,            0.033882,             0.01247,            0.012509,             0.90537,             0.97296,             0.94701,             0.61526,            0.017636,           0.0040514,            0.003267,           0.0074755,           0.0074755,           0.0074755
                  53,            0.036706,             0.01196,            0.014621,             0.92787,             0.98081,             0.99256,             0.62051,            0.018288,           0.0039631,           0.0031499,            0.007426,            0.007426,            0.007426
                  54,             0.03701,            0.014168,            0.011246,              0.8445,             0.97243,             0.90711,             0.57731,            0.018208,           0.0040272,           0.0031622,           0.0073765,           0.0073765,           0.0073765
                  55,            0.034082,            0.013491,            0.010285,             0.87613,                   1,             0.88819,             0.62751,            0.019299,           0.0040606,           0.0028876,            0.007327,            0.007327,            0.007327
                  56,             0.03865,            0.013727,            0.010954,             0.91006,             0.95899,             0.97753,             0.56401,            0.019738,           0.0040669,           0.0032564,           0.0072775,           0.0072775,           0.0072775
                  57,            0.036324,             0.01343,            0.013498,              0.8954,                0.95,             0.96338,             0.67738,             0.01781,           0.0038725,           0.0036302,            0.007228,            0.007228,            0.007228
                  58,            0.035627,            0.013423,            0.010633,             0.99112,             0.98272,              0.9943,             0.67791,            0.015021,           0.0037857,           0.0031377,           0.0071785,           0.0071785,           0.0071785
                  59,            0.036267,            0.014763,            0.020151,             0.99304,             0.99878,               0.995,             0.60642,             0.01666,           0.0041458,           0.0028554,            0.007129,            0.007129,            0.007129
                  60,            0.037457,            0.014675,            0.010953,             0.97358,             0.98831,             0.99352,             0.65598,            0.017966,            0.004111,           0.0027301,           0.0070795,           0.0070795,           0.0070795
                  61,            0.033911,            0.012712,            0.011166,             0.98743,                   1,               0.995,             0.66496,            0.017014,           0.0039467,            0.002715,             0.00703,             0.00703,             0.00703
                  62,            0.041035,            0.011814,           0.0093569,              0.9518,                   1,             0.98875,             0.69498,            0.015248,           0.0037817,           0.0027781,           0.0069805,           0.0069805,           0.0069805
                  63,            0.032895,            0.013154,            0.011645,             0.88793,              0.9125,             0.97922,             0.67036,            0.017462,           0.0038211,           0.0042705,            0.006931,            0.006931,            0.006931
                  64,            0.033837,            0.012831,            0.013205,              0.9951,                   1,               0.995,             0.73096,            0.014958,           0.0037313,            0.002762,           0.0068815,           0.0068815,           0.0068815
                  65,            0.032072,            0.012456,           0.0090005,             0.94142,             0.94159,             0.98557,             0.65023,            0.016162,           0.0039631,           0.0025939,            0.006832,            0.006832,            0.006832
                  66,             0.03593,            0.014194,            0.012034,             0.92701,                   1,              0.9897,             0.69372,            0.014649,           0.0040805,           0.0027454,           0.0067825,           0.0067825,           0.0067825
                  67,            0.030983,            0.014469,            0.010946,             0.79392,             0.85224,             0.89139,             0.58385,             0.01848,           0.0042037,           0.0028102,            0.006733,            0.006733,            0.006733
                  68,            0.035515,            0.012974,            0.010569,             0.98122,                   1,             0.99439,             0.71989,            0.012898,           0.0038771,           0.0027853,           0.0066835,           0.0066835,           0.0066835
                  69,            0.029399,            0.012968,            0.010049,             0.93547,                   1,             0.99073,             0.74651,            0.014045,            0.003566,            0.002504,            0.006634,            0.006634,            0.006634
                  70,            0.034708,             0.01227,            0.011015,             0.93901,             0.99439,             0.99378,             0.69977,            0.016595,           0.0035056,           0.0024073,           0.0065845,           0.0065845,           0.0065845
                  71,            0.030039,            0.011468,           0.0092349,             0.91938,             0.98975,             0.99351,             0.62104,            0.019372,           0.0034882,           0.0024237,            0.006535,            0.006535,            0.006535
                  72,             0.03381,            0.012769,             0.01181,             0.98951,             0.98771,               0.995,             0.77494,            0.013818,           0.0034015,           0.0024511,           0.0064855,           0.0064855,           0.0064855
                  73,            0.029963,            0.010882,            0.012462,             0.90898,             0.98457,             0.98414,             0.70687,             0.01716,           0.0035581,           0.0030666,            0.006436,            0.006436,            0.006436
                  74,            0.033079,            0.013028,           0.0085583,             0.88607,              0.9625,             0.96652,             0.69352,            0.013583,           0.0035854,           0.0037698,           0.0063865,           0.0063865,           0.0063865
                  75,            0.032178,            0.013929,            0.014048,             0.96645,             0.98555,             0.99246,             0.67031,             0.01556,           0.0039692,           0.0031657,            0.006337,            0.006337,            0.006337
                  76,            0.035088,            0.012238,             0.01117,             0.98174,              0.9875,             0.99347,             0.69081,            0.014394,           0.0041193,           0.0025591,           0.0062875,           0.0062875,           0.0062875
                  77,            0.031906,            0.011295,           0.0080847,             0.99276,                   1,               0.995,             0.70579,            0.014081,           0.0040654,           0.0023216,            0.006238,            0.006238,            0.006238
                  78,            0.033856,            0.013132,            0.011801,             0.99611,                   1,               0.995,             0.67707,            0.015248,           0.0039212,           0.0022428,           0.0061885,           0.0061885,           0.0061885
